Date,Trapline,Habitat,Species,Age,Sex,TagLeft,TagRight,id,Weight,ReproCond,Hindfoot,SkullWidth,SkullLength,OrangeMites 
16-08-23,701,BSA,DM,A,F,50758,50757,LT50758 TR50757,19,NSCR,18,13.5,27.7,Y
16-08-24,701,BSA,DM,A,F,50758,50757,LT50758 TR50757,20,NR,19,13.1,28,Y
16-07-24,701,BSA,DM,SA,M,50761,50760,LT50761 TR50760,17,NSCR,19,13,27.5,N
16-07-25,701,BSA,DM,SA,M,50761,50760,LT50761 TR50760,17.5,NSCR,19,13.3,30.1,Y
16-08-09,701,BSA,DM,SA,M,50761,50760,LT50761 TR50760,17,NSCR,18,13.2,28,Y
16-08-10,701,BSA,DM,SA,M,50761,50760,LT50761 TR50760,16,NSCR,20,12.9,28.1,Y
16-08-22,701,BSA,DM,SA,M,50761,50760,LT50761 TR50760,18,NSCR,19,13.1,28.2,Y
16-08-23,701,BSA,DM,SA,M,50761,50760,LT50761 TR50760,16.5,NSCR,19,13.2,28.2,Y
16-07-13,801,WPRP,DM,A,M,50773,50772,LT50773 TR50772,19.5,SCR,17,12.7,26.3,N
16-07-14,801,WPRP,DM,A,M,50773,50772,LT50773 TR50772,20,SCR,19,12.9,26.4,Y
16-07-14,901,Pine,DM,SA,M,50799,50798,LT50799 TR50798,16,SCR,19,12.8,25.8,N
16-07-24,901,Pine,DM,SA,M,50799,50798,LT50799 TR50798,15,NSCR,19,12.3,26.1,Y
16-07-21,111,SMH,DM,SA,M,50815,50814,LT50815 TR50814,17.5,SCR,19,12.8,26.7,N
16-08-07,111,SMH,DM,SA,M,50815,50814,LT50815 TR50814,17,SCR,19,12.8,26.8,Y
16-08-04,203,COMW,DM,SA,F,50836,50935,LT50836 TR50935,16,NR,19,13.5,26.9,N
16-08-16,203,COMW,DM,SA,F,50836,50935,LT50836 TR50935,16,NR,18.5,13.1,28.7,Y
16-08-18,203,COMW,DM,SA,F,50836,50935,LT50836 TR50935,15.5,NR,18,13.1,27.9,Y
16-08-03,203,COMW,DM,SA,F,50842,50932,LT50842 TR50932,16.5,NR,17,12.95,25.1,N
16-08-16,203,COMW,DM,SA,F,50842,50932,LT50842 TR50932,16,NR,18,13.1,27.4,Y
16-08-18,203,COMW,DM,SA,F,50842,50932,LT50842 TR50932,16,NR,17,13.1,26.8,Y
16-07-21,201,COMW,DM,SA,M,50848,50847,LT50848 TR50847,18,SCR,18,12.7,26.8,N
16-08-02,201,COMW,DM,SA,M,50848,50847,LT50848 TR50847,17,SCR,17,13.1,25.2,Y
16-08-03,201,COMW,DM,SA,M,50848,50847,LT50848 TR50847,17.5,SCR,18,13,26.4,Y
16-08-04,201,COMW,DM,SA,M,50848,50847,LT50848 TR50847,16.5,SCR,18,13,25.3,Y
16-08-16,201,COMW,DM,SA,M,50848,50847,LT50848 TR50847,15.5,SCR,19,13.1,27.8,Y
16-08-17,201,COMW,DM,SA,M,50848,50847,LT50848 TR50847,16,SCR,19,13.1,27.7,Y
16-08-18,201,COMW,DM,SA,M,50848,50847,LT50848 TR50847,15.5,NSCR,18,13,27.8,Y
16-07-21,201,COMW,DM,SA,M,50850,50849,LT50850 TR50849,16.5,SCR,19,12.9,27.7,N
16-08-02,201,COMW,DM,A,M,50850,50849,LT50850 TR50849,19,SCR,18,13.2,26.8,N
16-08-03,201,COMW,DM,SA,M,50850,50849,LT50850 TR50849,18.5,SCR,17,13.4,26.9,N
16-08-16,201,COMW,DM,SA,M,50850,50849,LT50850 TR50849,18,SCR,18,13,27.2,Y
16-08-17,201,COMW,DM,SA,M,50850,50849,LT50850 TR50849,16,SCR,19,13.1,27.3,Y
16-08-18,201,COMW,DM,SA,M,50850,50849,LT50850 TR50849,17,SCR,18,13,27,Y
16-07-24,703,BSA,DM,A,M,50866,50865,LT50866 TR50865,21,SCR,20,13.7,28.1,N
16-08-09,703,BSA,DM,A,M,50866,50865,LT50866 TR50865,23,SCR,20,13.4,27.3,Y
16-08-10,703,BSA,DM,A,M,50866,50865,LT50866 TR50865,20,NSCR,20,13,26.9,Y
16-08-02,202,COMW,DM,SA,M,50937,50936,LT50937 TR50936,15.5,NSCR,19,12.8,26.4,N
16-08-03,202,COMW,DM,SA,M,50937,50936,LT50937 TR50936,15,NSCR,19,12.5,24.5,N
16-08-04,202,COMW,DM,SA,M,50937,50936,LT50937 TR50936,16,SCR,20,12.8,25.8,N
16-08-16,202,COMW,DM,SA,M,50937,50936,LT50937 TR50936,18,NSCR,19,12.9,27.5,N
16-08-17,202,COMW,DM,SA,M,50937,50936,LT50937 TR50936,16,NSCR,19,13.1,27,N
16-08-18,202,COMW,DM,SA,M,50937,50936,LT50937 TR50936,14.5,NSCR,19.5,13,27.4,Y
16-06-29,901,Pine,DM,A,F,H382,H291,LTH382 TRH291,22,NR,18,12.5,24.5,N
16-06-30,901,Pine,DM,A,F,H382,H291,LTH382 TRH291,22.5,NR,17,12.8,27.3,N
16-07-25,901,Pine,DM,A,F,H382,H291,LTH382 TRH291,19,NR,19,12.6,24.1,N
16-08-09,901,Pine,DM,A,F,H382,H291,LTH382 TRH291,20.5,LAC,18,13.2,27.2,Y
16-06-29,303,DMW,RBV,SA,M,,50437,LT TR50437,18,SCR,17,12.6,27.8,N
16-07-14,303,DMW,RBV,A,M,,50437,LT TR50437,20.5,NSCR,16.5,13,26.9,Y
16-07-23,303,DMW,RBV,A,M,,50439,LT TR50439,22,SCR,19,12.9,27.4,Y
16-06-29,303,DMW,RBV,A,M,,50439,LT TR50439,19,SCR,19,13,28.5,N
16-07-13,303,DMW,RBV,A,M,,50439,LT TR50439,21,SCR,18,13.5,27.7,N
16-07-14,303,DMW,RBV,A,M,,50439,LT TR50439,21,NSCR,17,13,26,Y
16-07-24,303,DMW,RBV,A,M,,50439,LT TR50439,21,SCR,18,12.9,26.8,Y
16-07-25,303,DMW,RBV,A,M,,50439,LT TR50439,23,SCR,18.5,12.9,27.5,Y
16-07-06,201,COMW,RBV,A,M,50672,,LT50672 TR,21,SCR,17,12.7,25.9,N
16-08-04,201,COMW,RBV,A,M,50672,,LT50672 TR,22.5,NSCR,17,12.7,30.8,Y
16-07-25,801,WPRP,RBV,SA,M,50924,,LT50924 TR,17,NSCR,17,13.2,26.1,N
16-08-09,801,WPRP,RBV,SA,M,50924,,LT50924 TR,17.5,NSCR,17,13.2,28,Y
16-08-22,801,WPRP,RBV,SA,M,50924,,LT50924 TR,18,NR,17,12.95,26.9,Y
